,category,text
431,politics,speech edinburgh prime minister said thursday s report reinforced stability opportunity. pre-budget report mr brown surprised city experts forecasting uk growth 3% 3.5% year. david page investec securities said: forecast meet golden rule margin £8bn way optimistic. order deal raise taxes general election.
432,sport,converted tries olly barkley josh lewsey helped world champions 17-6 half-time lead. charlie hodgson barkley missed penalties yachvili landed france visitors front. poor scrummage hodgson chance seal victory pushed drop-goal attempt wide. titterrell sheridan s borthwick hazell m dawson h paul b cohen.
433,sport,gerrard told bbc liverpool unlikely win trophy year. win game maybe draw isn t strong injuries suspensions.
434,business,lg card s creditors given lg group wednesday sign $1.1bn rescue package. lg card s creditors threatened parent group lg group penalties fails respond demands.
435,tech,said s size design worth highlighting mac mini computer. fastest money £400 getting interesting mere technical specifications - apple software. media centre store music files photos 80gb small. design mac mini evidence future pcs bland bulky boxes. value mac mini offers bringing best software packages reach consumers apple congratulated.
436,business,institute supply management (ism) index fell 55.3 february adjusted 56.4 january.
437,politics,tories want information commissioner investigate. government guidance said e-mails deleted served current purpose mr thomas said. freedom information act cover england wales northern ireland year.
438,sport,year bafana bafana humbled minnows mauritius beat 2-0 curepipe. format event changed year entry seychelles taken number participants 13. june champions zambia host lesotho malawi swaziland group lusaka.
439,politics,said first-time buyers squeezed housing market.
440,tech,tata teleservices lasers link customers offices core network. laser bridges work distances 4km set faster cable connections. locations said permission dig roads lay cables impossible get. hardware works pairs beam data air form laser pulses.
441,business,santa monica-based activison said firm takeover list. video games big business paper quoted mr chernin saying.
442,sport,coach matt williams outmuscled outplayed tense half led 6-3 break. scotland came early exchanges took quick 3-0 lead boot full-back paterson. r russell b douglas n hines j dunbar m blair g ross b hinshelwood.
443,entertainment,book won orange prize fiction 5/4 favourite £25 000 whitbread. second favourite biography mary queen scots john guy. fellow clare college cambridge honorary research professor university st andrews 2003.
444,business,firms signed memorandum understanding expect seal final agreement spring 2005. making cars nissan 2003.
445,politics,hunt ban support decline support ban hunting fallen past years poll suggests. number opposed ban remains constant supporting opposing increased 11%.
446,tech,total number people online europe broken 100 million mark.
447,business,time finance minister nicolas sarkozy warned high oil prices posed threat french growth. [ oil prices] weigh consumer spending short term potentially confidence said.
448,sport,chambers banned years testing positive anabolic steroid thg suspension runs november year.
449,business,observers step closer public listing.
450,politics,local councillor lyn brown selected west ham east london contest white ethnic minority women. mr mccartney recently announced party consultation all-black shortlists.
451,business,proposed deal seen crucial safeguarding future rover s longbridge plant west midlands.
452,business,firm s revenue nearly tripled fourth quarter 2004 exceeding $86m (£46m). quarter yahoo earned $187m tipping resurgence online advertising.
453,sport,england sloppy leaderless defeats wales france loss unthinkable. england talking about. target victory dublin turning point nations. england slump dublin worst run results championship 1987.
454,entertainment,wraz-tv fox affiliate north carolina 182 stations refuse monday s show. picks wrong man impostor takes money.
455,tech,new episodes 24 desperate housewives feet appear web hours shown said report. bbc ran trial calls interactive media player (imp) year based peer-to-peer distribution model. let people download programmes held rights days aired. bbc allows radio fans hear programmes missed online week broadcast. million people uk fast always-on net connection cable phone lines.
456,politics,care best told bbc s breakfast frost. think need look carefully relationship lords commons lord falconer told bbc1 s breakfast frost. lady boothroyd said believed unacceptable lord chancellor role speaker.
457,tech,podcasts mark rise diy radio apple ipod digital music players hold 10 000 songs lot space fill. podcasting takes apple ipod need ipod create listen podcast. wants podcasting big thing says extension childhood love radio gadgetry. parents gave radio shack 101 project kit allows build transmitter subsequently fm transmitter. finished months ago says totally sucked. doug kaye california-based podcaster praises mtv vj done. ipodder takes audio web brings way mp3 player explains. couple broadcasts theirs dawn drew wisconsin comfort bed. called ed sullivan johnny carson podcasting says badge ll wear great honour. nice ears open let people shine.
458,business,resignation accepted brother boss ipcl. ipcl board met mumbai discuss company s results october-to-december quarter.
459,sport,i m] absolutely spitting. s tries ve cost robinson told bbc sport. josh lewsey awesome forwards stood there.
460,business,addition penalty monsanto agreed years close monitoring business practices american authorities. monsanto admitted paying bribes number high-ranking officials 1997 2002.
461,entertainment,sir cameron mackintosh s lavish production cost £9m bring stage given 10-minute standing ovation. technical hitches prevented mary poppins flight auditorium preview performances.
462,tech,musical future phones analyst thompson seen future son s hands. week e-mailed document compressed zip file pleasantly surprised discover phone knew decompress me. max started playing realised missing point entirely. want fast access e-mail 3g card laptop hook wireless network. 3g phones ipods co-exist bet long term content demand carrying gigabytes pocket.
463,tech,19-year-old man camberley surrey arrested national hi-tech crime unit bailed. british teenager arrested wednesday details emerged friday.
464,business,sale citigroup away 1990s strategy offering financial service - insurance broking banking. agreement metlife able sell products citigroup 10 years.
465,sport,28-year-old suffered tears adductor muscle unable play deciding mixed doubles. unlikely opinion five-setter let days row inside weeks. t kill makes stronger.
466,sport,healey won 51 caps prior 2003 world cup good form tigers resurgence season. recovering trapped nerve sustained end september 31-year-old relishing role tigers revival. huge rugby played great game involved in. outcome sunday leicester pole position heineken pool home game biarritz away trip calvisano come. healey insists tigers summon desire deliver knockout blow dubbed rugby s version rocky ii .
467,entertainment,den s death came 16 years supposedly shot 1989. ratings confirmed episode given soap highest audience year. grantham hit headlines newspaper printed photographs apparently exposing webcam dressing room.
468,politics,moazzam begg birmingham martin mubanga richard belmar feroz abbasi london held years. families informed return involved regular discussions government mr straw said. lawyer louise christian represents mr abbasi mr mubanga said government acted sooner. human rights campaigners outraged treatment detainees cuba.
469,politics,howard attacks cost asylum michael howard launched attack cost britain s chaotic asylum tony blair. need good quality decision-making asylum applications delays cost much. cutting number front-line immigration staff borders actually problem worse said mr blair. monday mr howard said: s racist people claim talk controlling immigration far it.
470,politics,idea tried overhaul way government approaches inclusive citizenship particularly ethnic minorities. pilot scheme based ceremonies australia start october. pakistani bangladeshi black caribbean origin significantly likely unemployed earn whites said.
471,sport,parry puts gerrard money listen interview sport bbc sport website 1900 gmt. realistic know t steven will. know s ambitious argue that. lot players feel common aim. expected chelsea test liverpool £30m-plus bid summer - parry claims mood listen. said: historically record saying think size arsenal deal real eye-opener. past deals frankly far cheaply hasn t worth contemplating. personal point view hell lot palatable shared stadium. s decision road think clearly explore. accused liverpool stalking horse attract bids parry explained: steve stalking horse. stadium gets cash difference £50m gerrard t care directors money way be.
472,politics,tories lib dems labour mps poised vote plans. mr clarke says powers needed counter terror threats. prevention terrorism published tuesday. opposition mps angry days - wednesday monday - debate new plans pass house lords.
473,tech,broadband steams ahead americans joining internet s fast lane according official figures. compared nations ranked 13th world telecoms body.
474,tech,nintendo adds media playing ds nintendo releasing adapter ds handheld console play music video. release media add-on attempt japanese games giant protect dominance handheld gaming market. goes sale adapter expected cost 5000 yen (£25) roughly difference price ds higher-priced sony psp.
475,entertainment,singer banked $56.5m (£30.4m) concerts album publishing sales musicology tour album.
476,politics,national audit office said defra improved capacity deal future livestock disease outbreaks. mr leigh pointed introduction help control future outbreaks delayed.
477,tech,britons fed net service survey conducted pc pro magazine revealed britons unhappy internet service. readers offered price drop 25p expensive offered alternative operator making hardly worth swapping.
478,entertainment,radio interview monday 50 cent said newcomer disloyal conflicts rappers. shooting took place outside studio interview ended rapper escorted building security personnel. arrests relation incident. 50 cent s second album massacre released thursday weeks game s debut documentary went number one.
479,business,tube workers walked week demanding 53% pay rise protest installation automatic ticket machines.
480,sport,idowu landed 17.30m british trials sheffield month lead world triple jump rankings. qualifying round men s triple jump madrid takes place friday final scheduled saturday.
481,sport,thomas nations wales captain gareth thomas ruled rest nations broken thumb. full-back surgery monday fracturing thumb 24-18 win france saturday. gareth missing think michael owen captain said wales coach mike ruddock. character showed second half outstanding.
482,tech,losing online gaming online role playing games time-consuming enthralling flights reality. shame getting popular know problem going mushroom wrote stuart stanton-davies huddersfield. gaming like pastime - quickly unhealthy obsession spending time gym television reading poetry. absolutely point t hear distracted ummm... ya minutes ask question. gaming mainstream games immersive hiding place social problems. understand key sign addiction alter life fit life. think line playing game lot gaming addiction distinct. play games lot definately 20 hours week t missing work commitments order play games. despite having little monetary value rewards encouragement offered mmorpgs hook games hours daily. wants play ll somewhere... addict cost relationship. problem lie nature gaming nature modern 24 hour culture. problem called mmorpgs complete s quest do. expect perspective change that. came home pretended got justifying playing evening. got point eating dinner pc realised things getting silly m trying spend time there. obsessed complete goal standpoint addiction. message government clear legalise drugs outlaw online gaming!! certainly gets way though. know play long s obsession t control. having played mmorpg games years agree type games life sucking. 24hours kid school half term ultima online game ahhhh days !
483,business,board man utd expected meet early week discuss latest proposal tycoon values club £800m ($1.5bn). mr glazer s latest led mr glazer s sons avi joel according financial times. believed increased equity new proposal clear much.
484,sport,22-year-old pipped maurice greene leg 4x100m relay athens honours team gb.
485,sport,australian open champion williams survived early scare beat russia s elena bovina 1-6 6-1 6-4. hantuchova upbeat mood ahead clash younger williams sister handed first-round bye. fast feel control ball.
486,politics,insisted limit party s ambitions coming poll. happy offer pledge deals prop big parties election. parties insist lib dems hopers greatest effect poll boost hopes opponents denying winnable seats.
487,sport,wolves appoint hoddle manager glenn hoddle unveiled new wolves manager tuesday. hoddle began managerial career player-boss swindon moving chelsea taking england job. engineered upturn saints fortunes lured white hart lane tottenham - club player.
488,sport,great winning bronze m wary injuries concentrate indoor season said. likely start 3 000m season race boston stuttgart end january.
489,business,company said tests shown significant finds indian oil fields upbeat potential areas. cairn said government believed company liable pay taxes production-sharing contract. mangala field thought contain billion barrels biggest date. mr gammell set company 1980s successfully switched focus south asia interests europe.
490,sport,john toshack game coach succeeding mark hughes admits surprised giggs reached landmark. briefly discussed international future sir alex urged carry giggs said. s new start players certainly important. important period club concentrated that.
491,entertainment,bravery compared cure new order heavily-tipped act survey 110 impartial critics broadcasters. rock band keane won sound 2004 rapper 50 cent topped sound 2003. boy band mcfly sixth scissor sisters uk s best-selling album 2004 seventh.
492,tech,beats ipod second place essentials list predicts gadget-lovers likely covet year. xbox 2 high-definition tv mp3 mobiles list must-haves dominate 2006 says.
493,politics,said ensuring child britain best start life legacy match nhs s creation. writing guardian newspaper mr brown outlined view direction new labour taking.
494,sport,newspaper speculation santini felt undermined arnesen s role club. absolutely true arnesen told bbc radio live. thing resign personal problems. said went said spurs sporting director.
495,politics,thousands join strike wales thousands civil servants strike wales friday protest planned job cuts. range services wales affected civil servants wales joined uk-wide strike. uk-wide action hit jobcentres benefit agencies pensions offices driving test centres. piers freelove senior benefit officer picket line companies house cardiff.
496,tech,microsoft gets blogging bug software giant microsoft taking plunge world blogging. service supported banner ads. competitors like google offer free services blogger site aol provides members journals.
497,business,vladimir putin said rights state-owned company ensure interests met. rosneft control 16% russia s total crude oil output. yukos share jumped moscow climbing 50% suspended. gazprom company originally tipped buy yuganskneftegas banned taking auction court injunction. rosneft announcement came hours yukos accused gazprom illegally taking sunday s auction.
498,business,37 countries benefit case-by-case review bodies including world bank imf said. added: need quickly turn proposals real change world s poorest. million children die needlessly meeting april. mr brown wanted provide $10bn (£5.38bn) year decade g7 backing money borrowed financial markets. g8 countries meet gleneagles scotland.
499,business,estimated loss bondholders 70% original value bonds majority expected accept government s offer. 70% 80% bondholders expected accept terms offer.
500,tech,world bank questioned united nation s campaign increase usage access technology poorer nations. people developing world getting access incredible rate - far faster than... past said report. spokesman s world summit information society said digital divide remained real.
501,business,regular annual bonus rates axa equity & law with-profits policies cut 2% 1% 2004.
502,business,largest food maker add label nutritional low-fat brands promote benefits.
503,sport,duo provisionally suspended iaaf allegedly missing drugs tests including eve athens olympics. head tribunal kostas panagopoulos said proven athletes refused test athens. mr kenteris given opportunity deserves rebuild career knowledge stain character.
504,sport,robbie keane took republic record 24 first-half goal proved victory. shame technically gifted team said kerr. kerr applauded decisive earned victory. robbie scuffed little good goal.
505,sport,ll two-horse race way end season going told bbc sport. gallas given extra confidence impact manager jose mourinho taking manager summer. incredible quality mourinho player fans consider stars dressing-room absolutely equal.
506,sport,blues boss jose mourinho sent taunting liverpool fans goal watched television went win game. riise connected better morientes cross smashed left-foot volley past petr cech. prompted mourinho s reaction saw sent chelsea pressed duff chance win game seven minutes remaining. subs used: pidgeley tiago.
507,business,fiat claims gm legally obliged buy 90% car unit own; gm says contract signed 2000 longer valid. mr marchionne confident firm s legal position saying interview financial times gm s argument legs . gm argues fiat share sale year cut gm s holding 10% asset sales fiat terminated agreement.
508,tech,social cultural changes discovery invention brought it. equivalent things invented discovered going able generate real business value wealth things did. dotcom era jumping face minutes. people stay connected. ultimately says mr donofrio value illiterate . goal research team preferred organisation women science technology begin career.
509,entertainment,dutch watch van gogh s film film slain dutch director theo van gogh called 06/05 premiered hague. earlier year van gogh film accusing islam promoting violence women.
510,sport,somebody think mr phillips said won t money flowers wimbledon. s different game watch women - t better worse. men s tennis exciting women right now.
511,sport,agassi endured early problems left-handed dane kenneth carlsen sealing 7-5 6-1 victory. seventh seed jurgen melzer came 6-3 6-3 xavier malisse - winner delray beach week. lot people assumption s easy play week s not.
512,tech,told bbc world service programme digital hoped education tool developing countries. mr negroponte said profit venture recognised manufacturers components making money. mr negroponte adapted idea work cambodia set schools wife gave children laptops.
513,business,performance comes sales 21% 8.6bn euros. firm interbrew world s biggest brewer volume bought ambev august 2004.
514,tech,content tv internet set closer year tv-quality video online norm. richard ayers portal director tiscali said little point trying regulate internet impossible. mr allan thinks answer lie cries impossible regulate apply offline laws online .
515,entertainment,khan raunchy roles music videos bollywood films past years. issued notices year view gone norway returned year work. khan s biggest successes steamy hindi song chadti jawani (rising youth).
516,politics,derek wyatt said having month campaign turned voters suggested people bored thing . labour party spokesman played differences mr wyatt said mr brown prominent campaign role.
517,sport,o gara s first-half try poached quick tap-penalty helped irish 8-3 lead half-time. late tackle brian o driscoll enabled o gara notch penalty 63rd minute extended ireland s lead 17-6. south africa produced huge effort closing minutes ireland held claim deserved victory. f sheahan m horan d o callaghan e miller g easterby d humphreys k maggs. :
518,business,state-owned rosneft bought unit $9.3bn (£5bn) yukos forced sell assets meet $27.5bn tax bill.
519,politics,royal succession shake-up labour peer withdrawn proposals female members royal family rights males. legislation ended right male heirs older sisters succeed crown. torn ancient legislation banning heirs throne marrying roman catholics.
520,business,sergio marchionne replaced herbert demel chief executive fiat auto mr demel leaving company. mr marchionne fourth head business - expected 800m euro ($1bn) loss 2004 - years. management changes wider shake-up business following fiat s resolution dispute general motors. mr marchionne joined company year said fiat auto principal focus attention.
521,tech,christmas give-away entitles customers free telephone calls uk internet. bt keen provide extra services broadband customers.
522,tech,passengers need nokia 3220 handset special shell attached it. opens possibilities mobile devices interact everyday environments said mr romen.
523,politics,edinburgh msp earns £30 000 year law firm tods murray partner. mr mcletchie said taken advice holyrood officials details needs declare. msp mr mcletchie signed parliamentary motion questioning expansion plans edinburgh airport.
524,tech,disney backs sony dvd technology generation dvd technology backed sony received major boost. technologies use blue laser write information. twentieth century fox announce technology supporting.
525,business,firm failed money state sold majority stake hotel tycoon gordon stewart 1994.
526,sport,denied club suffering dip form league rivals arsenal manchester united exploit. thing better position fa cup.
527,business,bank accused illegally concealing gen pinochet s assets. 3 000 people killed political reasons gen pinochet s regime official report says. general s opponents rejoiced settlement agreed court spanish capital madrid.
528,entertainment,topped charts uk raising millions dollars african famine relief. re-release marks 20th anniversary original recording.
529,sport,souness bidding bolster defence according reports contract negotiations advanced stage player.
530,politics,s telling people doorstep. underestimate impact war iraq. brownite spring conference equally ardent fan mr blair. stephen douglas 26 wales said pm s speech sunday: think bit turning point given roasting issues. problem faced said converting local feelgood factor votes.
531,entertainment,c-murder member rap group tru filmed orange prison suit video y heard single new orleans jail. footage video filmed crews permission interview c-murder - court tv local cable show. mr rakosky said better c-murder real corey miller sitting wasting away .
532,sport,injured rio ferdinand sol campbell left squad matthew upson pulled out. king forced pull groin injury assessed england s medical staff.
533,sport,campbell extend sprint career darren campbell set sights running quicker deciding retire sprinting. ve got run 10 seconds (for 100m) 20 seconds (for 200m). 31-year-old won olympic 200m silver sydney 2000 said games hamstring injury stopped running best.
534,politics,told scottish parliament wednesday comprehensive ban smoking public places introduced spring 2006. mr mcconnell claimed evidence smoking bans helped smokers quicker smoke less. keen know inmates scottish prisons continue allowed smoke. believed majority people scotland wanted having breathe harmful tobacco smoke.
535,tech,growth driven emerging markets china russia india report predicted. $1.75bn (£900m) deal combined operation biggest pc vendor world.
536,entertainment,apple unwilling raise cost single line download services said band aid. track fastest-selling single year far shifting copies rest 30 combined hmv claimed.
537,tech,santy worm makes unwelcome visit thousands website bulletin boards defaced virus google spread net. santy s spread stopped google began blocking infected sites searching new victims. security firms estimate 1m websites run discussion groups forums open source phpbb program.
538,sport,marathon world record holder believes needs rid athletics suspicions innuendoes greet fast time. radcliffe s comments come time american sports stars suspicion steroid use.
539,politics,target 1.5 million 2010 needed creative ideas. defined adults government purpose compiling figures. people opportunity live richer lives. existing adult learners use enthusiasm commitment local knowledge attract people.
540,business,bank holds rate 4.75% bank england left rates hold 4.75% widely-predicted move. clear signs economy slows mpc ready quick corrective action cut rates. business outlook start deteriorate bank stand ready cut rates.
541,entertainment,investigating blasts killed 250 people wounded 1 000 film black friday open india friday. director anurag kashyap said film s release delayed book sale years.
542,politics,troubling government accept judgement work said. mrs robinson said law lords ruling line international legal opinion praised decisive majority.
543,business,bank england expected rates hold week - later year. growth probably slow end 2005 likely higher rates sharp drop demand products services.
544,entertainment,bening born texas 1958 gained prominence string key roles. opening career theatre - gaining tony award nomination 1986 - bening low-key spell television. current film julia bening award-winning actress perennial nominee success golden globes.
545,sport,rusedski forced marseille greg rusedski forced withdraw open 13 marseille thursday rib injury. american taylor dent caused shock 7-6 6-2 victory second seed david nalbandian.
546,sport,briton running time dropping olympic marathon 10 000m held kenyan susan chepkemei thrilling finish.
547,tech,new technology causing worries guarded optimism different sectors population. actual technology ink complicated. likewise voter refuses inked receive ballot. author article began petition drive use ink. aggressively middle road coalition non-governmental organizations lauded important step forward.
548,politics,thinks women plans end university tuition fees free long-term care elderly. labour conservatives said plan boost pensions improve childcare support. mr kennedy points fact 40% party s candidates set stand winnable target seats women.
549,entertainment,21 films competition golden silver bear awards half europe france particularly represented. anti-american mood said. dozen celebrities scheduled attend smith kevin spacey keanu reeves.
550,politics,home secretary charles clarke quoted telling labour members wants migrants come uk. tory co-chairman liam fox said comments odds tony blair s prediction net cut immigration. want people coming look refuge. mr clarke said clear uk welcome genuine economic migrants key jobs strict points based system.
551,entertainment,21st james bond film hit big screen speculation rife play lead. producers decision seventh actor including niven play bond film. addition 1967 film adapted television 1954 actor barry nelson americanised jimmy bond. new zealand-born campbell moved uk 1966 directed tv series professionals minder bergerac.
552,politics,mr brown haunted eyes desolate hope. pivotal figure british politics impossible ask this.
553,tech,blu-ray association said thursday games giants electronic arts vivendi support dvd format. players come able play standard dvds good news huge libraries current dvds. sony recently announced technology generation playstations. formats courting microsoft format choice generation xbox discussions on-going.
554,politics,west yorkshire police confirmed arrested 45-year-old man outside area. bnp founding chairman john tyndall arrested sunday charge.
555,entertainment,full-scale theatrical production musical debut vienna saturday. despite successful musicals time barely known inside austria. musical based true story von trapp family formed singing troupe escaped nazi-occupied austria 1938.
556,sport,rico gear ran blacks seven tries predominantly second-string line-up. new zealand went ahead gear use space vacated temporarily injured chris latham slide in. s year level phenomenal end southern hemisphere season.
557,business,delivered 14th adam smith lecture kirkcaldy fife. dr greenspan invited chancellor gordon brown minister father john preach st bryce kirk church. chairman council economic advisors gerald ford.
558,sport,m qualified s matters said 28-year-old. mcilroy set world-leading mark 1 000m sparkassen cup stuttgart weekend.
559,entertainment,swords sandals blockbuster rumoured cost $150m (£79m) earned $13.5 (£7m) days box office.
560,sport,31-year-old france international gave press conference roma player monday anouncing bolton. candela member roma won title 2001 seven league appearances season luigi del neri s side.
561,entertainment,presley feature charts months 18 original uk chart-toppers reissued. pops spokesperson said: s special number s uk s 1 000th.
562,tech,movies sony pictures walt disney touchstone miramax columbia buena vista offer. video-on-demand offer deeper range content currently exists tv. telewest launch similar services later year. bbc trialling similar service offering broadband users chance watch programmes broadcast pc. telewest beginning £20m investment tv-on-demand launch personal video recorder (pvr).
563,business,car unveiled geneva motor intended compete medium-sized luxury car market. gm s announcement way allay fears saab factory s closure. group s new commitment swedish factory welcomed group s opel workers ruesselsheim germany. segment s leaders agree. german marques mercedes benz bmw retained stranglehold luxury market.
564,sport,dawson set new wasps contract european champions wasps set offer matt dawson new deal. m happy contribution think s good play couple years.
565,politics,simple fact new labour government taxes election plug financial black hole mr howard said. urged chancellor admit responsible dragging millions people net pay stamp duty inheritance tax. sweeteners hide crippling tax rises hard-working families inevitable labour wins. dodgy government brought dodgy dossier publishing dodgy budget based dodgy numbers said.
566,entertainment,doris lessing ian mcewan nominated. new £60 000 award open writers nationalities write english widely translated.
567,politics,jonathan baume civil servants union spoke competing agendas mr brown mr blair. chancellor said mr baume meetings prime minister judge. mr blair making exactly decisions civil service reforms.
568,entertainment,different story screen panorama section festival runs 10-20 february. later career including legal battles record label sony stance iraq war american politics. year s festival open man man historical epic starring joseph fiennes kristin scott-thomas.
569,entertainment,tally dvd video sales soared past film s opening week box office takings $56m (£29.7m).
570,entertainment,come shot killed bonny lee bakley 2001 mr blake s murder trial told criminalist steven dowell. gun collected murder weapon. mr dowell said residue present mr blake fired gun night.
571,politics,party goes spring forum trying highlight sees clear choice labour. conservative leader michael howard welcome delegates conference friday address lunchtime speech.
572,entertainment,film tells story adolescent boys subjected harsh regime strict father returns 10-year absence. viewer poll saw director zhang yimou s martial arts epic hero emerge favourite 32% votes cast.
573,tech,smash home executive froze broken hard disk thinking fixed topped list weirdest mishaps.
574,politics,prime minister speaking publicly time returning holiday egypt. think feel - - shock horror absolute solidarity people lost lives. spoke telephone president george bush presidents sri lanka indonesia. chancellor said plan initially save affected countries $3bn (£1.58bn) repayments. international development secretary hilary benn visit aceh indonesia sri lanka.
575,tech,movie body hits peer-to-peer nets movie industry struck file-sharing networks round lawsuits us. latest network uses peer-to-peer called bittorrent hit mpaa. december legal action claimed high-profile victim.
576,tech,study s findings eventually help humans develop code social behaviour human-robot interaction. work european cogniron robotics project london s science museum. think robot companion human think 20 years future concluded professor dautenhahn.
577,sport,win hearts means play asante kotoko two-leg final kumasi team qualified group saturday. hearts oak started game needing win qualify final cotonsport needed avoid defeat through.
578,sport,everybody knows enjoy competing britain. isinbayeva 22 set 10 world records pole vault come british soil.
579,tech,sony ibm toshiba working cell processor years unveil chip technology conference. designed use graphics workstations new playstation console described supercomputer chip. sony said cell processor bridge gap movies video games.
580,tech,napster offers rented music music downloading rejected free peer peer services costly business. cost paying little 70p track add particularly people new generation players store thousands songs. technology ensures music downloaded player remains playable user subscribes service.
581,sport,spanish press affair bbc sport looks reaction. team played poorly wanted divert attention muddled issue paper says. vargas mention england s galacticos simply adding ps: forgotten speak beckham owen.
582,entertainment,ray nominated oscar categories including best film best actor jamie foxx. film recounts life blues singer ray charles died 2004.
583,entertainment,bbc beat office christmas special best tv comedy category took people s choice award. gervais said: won awful lot awards couple years much. winners awards included caroline quentin took home best tv comedy actress life begins von trapped.
584,sport,mourinho sent touchline appearing taunt liverpool fans reminded responsibilities game . gesture came chelsea s equaliser 79 minutes courtesy steven gerrard goal.
585,tech,like cm game years pcs. year final time developers sports interactive (si) publishers eidos work together. point cm5 looks like ship early year. lot changes bonnet - things like manager mind-games let talk media opposition bosses. time great deal hard work ensure oddities crop cosmetic affect gameplay.
586,entertainment,movie version dan brown s best-selling novel directed ron howard stars tom hanks. currently starring long engagement directed jean-pierre jeunet.
587,sport,action friday 60m hurdles long jump ahead european indoor championships later month madrid.
588,sport,arsenal play magpies day chelsea beat portsmouth busy festive programme. added: play matches days foreign players understand traditions football time year good health it.
589,tech,broadband fuels online change fast web access encouraging people express online research suggests. half broadband logged web breakfast. popularity fast net access growing partly fuelled fierce competition prices services.
590,business,airline said decision commercial reduced passenger demand services. ba currently operates flights week heathrow jeddah weekly journeys riyadh.
591,politics,fell love wouldn t public things started badly wrong summer news world picked story. dangerous territory wasn t practising preach accept responsibility accept consequences actions. work french government...has hugely successful said mr blunkett.
592,tech,japan south korea singapore strong players china s demographics edge media conference london heard. news corporation viacom sony pictures big names involved joint ventures chinese players. 700 million chinese listen 1 000 radio stations 200 tv stations broadcast 2 900 channels. video market seen big opportunity piracy levels high despite anti-piracy drive past year.
593,business,buy-back victory chairman mukesh ambani idea was.
594,sport,melbourne s herald-sun said roche troubled hip complaint want travel full-time again.
595,entertainment,branson flops screens entrepreneur sir richard branson s tv rebel billionaire proving flop ratings. sir richard s sees group young entrepreneurs compete president business empire. creatively extremely pleased hope audience added.
596,sport,wilkinson return unlikely jonny wilkinson looks set miss 2005 rbs nations. despite playing england wilkinson hoping lions tour new zealand summer. lions coach sir clive woodward set deadline wilkinson start playing order considered selection.
597,entertainment,progression harry s story darker areas ll spend time marvelling beautiful hogwarts landscape. year hogwarts studies interrupted calamity harry ron hermione right.
598,politics,teenagers allowed mps teenagers able mps plans unveiled ministers. currently candidates local national votes 21 voting age 18. april s report electoral commission said strong argument leaving age standing election 21.
599,tech,lycos europe s love spam campaign began late november tactics proved controversial. 100 000 people thought downloaded screensaver lycos europe offered. statement lycos europe announcing scrapping scheme company denied fault.
600,entertainment,belfast-born glasgow-based band collected prizes ceremony dublin s point theatre. think lot bands wee bit kicking success singer gary lightbody drummer jonny quinn said.
601,entertainment,thousands customers placed pre-orders amazon.co.uk website sixth book series.
602,business,pensions policy institute (ppi) said life expectancy unskilled professional men understated.
603,entertainment,62-year-old sang hey jude beatles songs 12-minute set half-time game florida. organisers widely considered playing safe year booking 62-year-old sir paul second super bowl show.
604,entertainment,da vinci code claims jesus crucified married mary magdalene died normal death. claims later covered church. despite enjoying dan brown s conspiracy theory bishop said lack evidence claims.
605,sport,parry firm gerrard listen interview sport bbc sport website 1900 gmt. realistic know t steven will. know s ambitious argue that. lot players feel common aim. expected chelsea test liverpool £30m-plus bid summer - parry claims mood listen. said: historically record saying think size arsenal deal real eye-opener. past deals frankly far cheaply hasn t worth contemplating. personal point view hell lot palatable shared stadium. s decision road think clearly explore. accused liverpool stalking horse attract bids parry explained: steve stalking horse. stadium gets cash difference £50m gerrard t care directors money way be.
606,tech,court mulls file-sharing future judges supreme court hearing evidence file-sharing networks. court decide producers file-sharing software ultimately held responsible copyright infringement. questioned opening way entertainment industry sue file-sharers deter innovation. said file-trading software illegally trade movies music conceptually technology excellent uses .
607,tech,first-time initiative restricted uk users pre-installed copies operating pcs bought november. company aims detect illegal traders turn users fake versions windows legitimate ones.
608,politics,local government watchdog said allegation related failure respect others. power suspend bar labour s mr livingstone office.
609,sport,second seeds drawn samoa france italy georgia chinese taipei. england won rugby world cup sevens 1993 included likes lawrence dallaglio matt dawson. england (2) samoa (7) france italy georgia chinese taipei.
610,tech,said having always-on fast connection changing way people use internet.
611,sport,bosvelt optimistic new deal manchester city s paul bosvelt month offered new one-year deal. 34-year-old dutch midfielder contract summer age count feels play season.
612,politics,reached milestone june overtook david lloyd george served seven years 43 days 1908 1915. 1983 took dunfermline east new constituency including rosyth naval base pit villages coastal towns. chancellor opposes encroachment market nhs seen old labour mr blair approach wealth redistribution. damages ability government job open question. amid easy forget mr brown remains man likely succeed mr blair labour leader.
613,politics,lifelong learning minister jim wallace said result scottish students missing out. fears expressed flood fee refugees try avoid top-up fees £3 000 year introduced england. figures public thursday admissions service ucas.
614,entertainment,pop star cancelled onyx hotel tour june suffering knee injury video shoot. 22-year-old star initially missed number shows 82-date tour injuring knee illinois march.
615,tech,gadgets highlighted innovations showcase recognises hottest developments consumer electronics. bbc news website took early pre-show look technologies making debut 2005. key issues keen gadget users store digital images audio video files. 2.5gb 5gb circular pocket hard drive seagate help. external usb drive won ces best innovations design engineering award small slip pocket. dab sets slow take-off uk concentrates sleek looks technology. porsche radio set sale end january quarter 2005 uk. expected cost $250 (£133).
